"25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
81,42,43,131,38,128,154,71,90,70,52,8,8,14,15
84,155,80,70,69,28,127,56,0,22,9,0,31,0,46
66,70,130,207,51,2,52,102,101,25,39,67,99,13,122
85,120,112,74,88,88,110,68,66,34,0,2,48,54,42
85,20,0,193,70,108,189,30,36,24,25,14,0,171,17
9,66,40,188,48,163,26,9,10,45,0,40,30,14,0
50,242,77,162,113,49,135,19,15,15,8,30,20,2,208
241,248,160,85,164,161,204,38,0,0,30,37,0,16,0
0,0,20,0,58,0,49,9,39,0,0,0,0,15,13
131,168,301,256,331,92,315,75,76,90,89,112,186,102,162
200,145,84,32,74,186,0,62,0,17,68,0,18,0,0
69,119,93,59,50,125,246,54,24,35,0,58,48,11,30
70,39,211,49,73,153,78,14,111,92,89,111,81,66,46
259,26,121,154,116,120,264,26,21,0,12,68,5,12,5
229,157,102,78,99,66,209,21,67,11,7,26,18,10,21
146,36,30,0,163,67,14,0,0,13,10,7,0,0,0
48,256,226,73,89,102,91,41,69,0,0,88,31,9,11
49,180,73,47,36,39,49,131,3,14,49,10,6,0,0
51,43,30,326,41,25,54,0,70,25,74,23,12,10,0
128,153,63,119,77,233,77,0,46,41,10,51,46,29,12
79,90,14,119,234,209,35,0,65,0,72,23,15,0,12
84,98,17,53,131,150,84,36,16,39,59,15,0,0,42
0,36,17,126,87,42,16,27,0,0,0,18,22,0,0
280,99,202,19,111,146,33,0,37,30,34,145,90,0,26
0,0,0,98,0,16,195,281,50,0,0,0,0,0,0
603,102,216,232,283,293,118,43,54,0,44,0,0,0,0
36,109,170,112,101,29,45,0,61,16,10,86,0,0,0
334,103,111,198,59,75,89,35,36,31,65,68,61,35,79
96,87,147,24,78,69,277,0,22,0,0,24,44,21,0
103,65,134,93,130,32,44,19,0,24,30,0,0,0,0
0,37,42,56,177,41,0,0,0,24,0,16,26,0,0
165,89,95,22,101,48,21,0,56,0,0,35,0,0,13
94,158,103,116,170,138,34,0,16,61,55,91,0,32,105
152,72,94,53,169,77,66,0,36,54,50,11,0,0,0
16,44,169,143,61,51,119,42,37,75,144,68,63,5,38
119,32,178,124,84,102,49,38,56,13,0,41,0,0,0
166,199,289,128,177,392,257,88,103,49,83,103,87,62,100
82,234,150,82,99,273,216,50,144,50,37,275,75,136,90
12,48,102,48,0,0,0,41,31,46,26,14,0,0,0
156,117,51,225,21,325,116,20,45,11,68,122,11,50,0
141,0,85,4,62,6,28,21,25,14,0,55,64,0,39
137,123,101,136,152,143,104,57,49,33,43,20,35,99,16
240,127,121,115,217,99,85,103,90,64,51,48,0,12,0
43,17,43,36,36,24,3,29,32,24,35,2,0,7,41
109,112,37,74,103,21,12,0,0,8,0,0,0,0,0
24,18,18,34,4,30,0,0,9,0,30,12,5,0,9
96,133,28,14,90,0,0,10,21,3,4,30,31,11,59
118,86,115,134,81,0,138,0,0,4,0,92,55,48,62
220,116,47,117,102,31,53,0,39,6,21,0,4,0,0
56,79,21,52,0,20,38,16,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,45,3,116,211,181,48,21,0,0,6,6,0,13
124,43,50,161,71,148,64,0,34,0,66,37,68,0,0
21,310,114,86,48,74,46,9,140,9,1,32,2,8,10
193,385,197,172,65,105,207,0,91,0,63,16,7,0,0
70,150,212,135,173,105,146,28,160,27,10,60,24,30,8
83,6,112,288,116,52,91,11,50,0,5,12,12,16,0
187,270,239,261,218,83,11,21,0,10,27,0,0,0,10
81,75,17,111,74,144,4,0,25,25,27,0,0,0,24
233,264,139,99,142,177,63,0,0,0,39,0,0,0,0
12,54,131,77,120,56,81,0,20,18,50,0,45,0,31
39,49,20,331,57,188,34,14,15,0,56,164,0,0,0
196,89,279,195,314,141,74,59,28,24,16,74,118,0,24
0,100,114,182,123,71,63,25,26,42,45,90,0,30,36
105,105,88,99,150,34,15,14,0,0,46,49,54,30,0
143,253,124,120,110,180,188,70,90,28,45,0,11,10,0
91,53,130,111,56,31,46,0,36,0,30,24,9,3,0
282,253,265,126,109,60,157,54,121,79,25,62,99,29,67
226,157,179,140,29,67,73,1,79,12,54,10,58,0,0
190,131,84,39,146,105,85,16,7,8,8,0,44,0,0
152,52,69,119,57,38,101,0,0,11,19,76,30,20,45
0,0,89,21,31,73,63,8,10,17,11,147,60,67,107
72,60,58,64,28,36,55,0,8,0,49,15,35,0,8
134,76,82,71,63,184,71,12,66,44,25,0,53,9,0
55,53,20,0,13,67,10,10,30,0,9,0,0,9,19
117,153,63,36,182,79,177,44,11,26,84,28,34,21,14
155,131,128,115,133,149,192,52,26,18,7,62,25,57,57
46,100,87,48,126,43,56,0,5,21,36,21,37,10,10
219,352,119,66,20,79,121,99,12,0,9,20,15,20,0
142,137,52,145,102,89,74,20,29,9,20,31,26,14,22
70,142,106,29,98,92,138,50,45,47,46,44,10,20,0
94,134,218,93,113,154,110,52,49,19,31,66,90,24,30
140,194,201,70,75,128,194,22,25,35,80,59,54,12,20
38,126,71,88,34,239,122,0,0,120,68,0,0,0,6
163,54,26,17,109,47,111,26,152,28,215,120,156,95,85
107,12,19,149,15,162,29,58,75,43,53,172,15,20,37
166,504,470,411,226,64,25,11,0,0,92,201,62,15,19
83,46,15,251,103,73,68,0,31,18,31,66,25,13,9
95,72,79,53,16,84,113,41,6,73,42,47,21,14,29
12,232,135,0,57,29,165,0,0,0,13,13,68,26,0
100,47,135,77,109,50,81,77,51,47,98,100,94,0,0
45,91,1,0,73,300,144,0,70,0,22,55,25,17,64
195,314,25,342,194,111,144,74,46,62,0,119,36,2,30
46,57,30,0,12,28,18,0,38,0,0,0,0,0,0
140,294,359,60,147,188,124,73,77,0,48,0,0,6,0
376,136,363,208,157,149,145,87,135,0,0,27,32,0,0
119,151,266,165,69,282,157,43,82,29,21,190,88,0,30
0,114,98,25,101,152,57,81,43,9,31,84,57,7,7
103,51,70,75,44,18,23,6,17,12,0,0,18,0,0
22,19,31,11,29,23,194,25,58,17,32,146,89,0,18
30,26,81,24,84,126,42,87,21,28,98,53,26,0,22
6,59,243,51,46,7,113,77,158,77,35,0,1,1,40
0,146,57,46,57,50,25,0,37,65,49,26,23,13,11
127,91,97,46,132,69,154,29,21,0,0,0,45,33,0
