"Less than high school","Some high school","High school graduate or equivalent (for example GED)","Some college, but degree not received or is in progress","Associate’s degree (for example AA, AS)","Bachelor's degree (for example BA, BS, AB)","Graduate degree (for example master's, professional, doctorate)"
0,12,119,343,71,890,831
0,21,170,149,15,246,231
0,14,124,64,59,332,192
42,92,136,193,136,57,94
137,57,286,352,26,68,140
40,157,299,223,0,126,62
0,38,40,198,176,584,658
0,18,42,0,0,146,23
0,17,112,282,204,600,301
12,0,509,89,70,687,448
150,116,198,251,69,613,295
55,37,206,21,11,329,207
5,78,325,16,8,5,0
0,53,354,94,25,144,44
0,0,178,85,45,300,140
15,57,214,165,93,259,111
0,17,106,107,76,247,52
0,33,348,176,16,271,0
16,15,256,304,167,378,114
0,37,54,146,156,178,119
0,28,72,54,95,261,316
39,27,249,144,53,287,306
14,6,183,143,111,434,189
91,96,272,158,60,272,147
0,24,151,100,24,337,325
80,187,162,155,123,602,186
9,38,81,155,81,290,262
32,49,122,126,58,308,173
69,61,188,181,59,430,748
0,42,146,242,140,586,626
28,0,203,248,22,644,550
0,13,16,7,46,413,348
0,30,308,176,149,629,759
3,0,111,72,81,239,346
12,9,106,93,95,449,432
19,129,260,132,49,370,248
48,23,145,75,67,336,195
5,0,262,154,98,333,207
11,65,408,212,106,664,398
37,17,328,49,116,384,239
17,57,287,201,104,363,435
5,150,266,226,17,116,192
56,11,139,42,83,170,22
0,0,52,80,93,115,87
10,15,41,110,56,404,417
20,10,186,416,111,332,233
220,196,242,41,0,96,17
56,56,368,101,38,346,97
32,12,122,158,96,96,40
55,19,202,140,48,199,117
188,0,23,123,0,2,65
8,15,188,142,8,33,39
245,13,212,90,76,191,46
25,72,292,144,55,69,46
0,34,390,215,0,55,17
209,53,342,210,102,134,131
94,23,607,208,211,217,248
68,58,572,443,200,522,202
80,66,612,357,35,348,135
39,88,87,99,65,99,59
4,0,84,61,81,124,125
12,17,240,122,60,105,63
81,123,138,154,43,470,268
41,15,336,185,112,338,139
31,64,470,182,78,347,73
29,0,14,83,24,20,0
85,99,725,470,164,535,241
